,extremes,gsteukgiCd,gsteukgiNm,gunGbnm,iybudaeCdm,iyyjjongryoYm,iyyjsijakYm,jeopsuJrdtm,jeopsuPcnt,jeopsuSjdtm,mojipGbnm,mojipTms,mojipYy,rate,rnum,seonbalPcnt
516,-14,B11.05,(2함대)조리,해군,해군교육사령부,202406,202406,20240516,1,20240509,복무지역선택병,203,2024,0.1,517,15
517,-6,122.103,M계열전차부대정비,육군,육군훈련소,202408,202408,20240508,5,20240430,기술행정병,5,2024,0.5,518,11
518,-6,123.104,K-21보병전투차량부대정비,육군,육군훈련소,202408,202408,20240508,8,20240430,기술행정병,5,2024,0.6,519,14
519,-88,133.103,사격지휘,육군,육군훈련소,202408,202408,20240508,17,20240430,기술행정병,5,2024,0.2,520,105
520,150,141.105,휴대용유도무기운용/정비,육군,육군훈련소,202408,202408,20240508,169,20240430,기술행정병,5,2024,8.9,521,19
521,42,162.104,전기설비,육군,육군훈련소,202408,202408,20240508,43,20240430,기술행정병,5,2024,43,522,1
522,392,241.100,수송운용(차량운전),육군,육군훈련소,202408,202408,20240508,1326,20240430,기술행정병,5,2024,1.4,523,934
523,108,241.100,수송운용(차량운전),육군,5사단,202408,202408,20240508,220,20240430,기술행정병,5,2024,2,524,112
524,27,341.102,영상제작,육군,육군훈련소,202408,202408,20240508,28,20240430,기술행정병,5,2024,28,525,1
525,563,411.101,일반의무,육군,육군훈련소,202408,202408,20240508,743,20240430,기술행정병,5,2024,4.1,526,180
526,-1,M241.105,지게차운전(중졸),육군,육군훈련소,202408,202408,20240508,0,20240430,기술행정병,5,2024,0,527,1
527,25,412.105,전문약제,육군,육군훈련소,202408,202408,20240508,32,20240430,기술행정병,5,2024,4.6,528,7
528,-2,122.101,K계열전차부대정비,육군,육군훈련소,202408,202408,20240508,23,20240430,기술행정병,5,2024,0.9,529,25
529,-4,123.101,장갑차조종,육군,육군훈련소,202408,202408,20240508,56,20240430,기술행정병,5,2024,0.9,530,60
530,4,133.107,포병측지,육군,육군훈련소,202408,202408,20240508,5,20240430,기술행정병,5,2024,5,531,1
531,48,171.101,전술통신장비운용/정비,육군,육군훈련소,202408,202408,20240508,226,20240430,기술행정병,5,2024,1.3,532,178
532,11,226.101,장비수리부속공구보급,육군,육군훈련소,202408,202408,20240508,25,20240430,기술행정병,5,2024,1.8,533,14
533,31,231.103,지원보급,육군,육군훈련소,202408,202408,20240508,39,20240430,기술행정병,5,2024,4.9,534,8
534,7,231.106,물자근무지원,육군,육군훈련소,202408,202408,20240508,43,20240430,기술행정병,5,2024,1.2,535,36
535,81,141.106,천마운용/정비,육군,육군훈련소,202408,202408,20240508,107,20240430,기술행정병,5,2024,4.1,536,26
536,18,161.104,야전건설,육군,육군훈련소,202408,202408,20240508,32,20240430,기술행정병,5,2024,2.3,537,14
